atom
Pin,Name
BG43,DRAM1_DQSN[3]
BG45,VSS
BG47,DRAM1_CKE[0]
BG49,VSS
BG51,DRAM_VDD_S4
BG53,VSS
BH1,VSS
BH2,VSS
BH4,PMC_PLT_CLK[2]
BH5,PMC_PLT_CLK[1]
BH6,PMC_PLT_CLK[4]
BH7,PMC_PLT_CLK[0]
BH8,PMC_PLT_CLK[3]
BH10,PCU_SMB_CLK
BH12,ILB_8254_SPKR
BH14,ILB_LPC_CLK[1]
BH16,ILB_LPC_AD[0]
BH18,GPIO_S0_SC[014]
BH20,HDA_SYNC
BH22,SIO_I2C0_DATA
BH24,SIO_I2C1_CLK
BH26,SIO_I2C3_CLK
BH28,SIO_I2C5_DATA
BH30,GPIO_S0_SC[092]
BH32,DRAM1_DQ[08]
BH34,DRAM1_DQSN[1]
BH36,DRAM1_DM[1]
BH38,DRAM1_DQ[15]
BH40,DRAM1_DQ[29]
BH42,DRAM1_DM[3]
BH44,DRAM1_DQSP[3]
BH46,DRAM1_DQ[27]
BH47,DRAM1_DQ[31]
BH48,DRAM1_DQ[30]
BH49,DRAM1_MA[14]
BH50,DRAM1_MA[15]
BH52,VSS
BH53,VSS
BJ2,VSS
BJ3,VSS
BJ5,VSS
BJ6,VGA_V1P0_S3
BJ7,VSS
BJ9,PMC_PLT_CLK[5]
BJ11,VSS
BJ13,ILB_LPC_AD[2]
BJ15,VSS
BJ17,ILB_LPC_AD[1]
BJ19,VSS
BJ21,HDA_CLK
BJ23,VSS
BJ25,SIO_I2C2_CLK
BJ27,VSS
BJ29,SIO_I2C6_DATA
BJ31,VSS
BJ33,DRAM1_DQ[13]
BJ35,VSS
BJ37,DRAM1_DQ[11]
BJ39,VSS
BJ41,DRAM1_DQ[24]
BJ43,VSS
BJ45,DRAM1_DQ[26]
BJ47,VSS
BJ48,DRAM_VDD_S4
BJ49,VSS
BJ51,VSS
BJ52,VSS
