atom
Pin,Name
F5,VSS
F7,VSS
F10,ICLK_USB_TERM[0]
F12,TAP_TDI
F14,TAP_TMS
F16,TAP_PREQ#
F18,GPIO_S5[13]
F19,VSS
F20,PMC_PLTRST#
F22,PMC_SLP_S4#
F24,VSS
F26,PMC_WAKE_PCIE[0]#
F27,VSS
F28,MCSI_GPIO[07]
F30,VSS
F32,MCSI_GPIO[06]
F34,MCSI_GPIO[00]
F35,VSS
F36,DRAM0_DQ[16]
F38,DRAM0_DM[2]
F40,DRAM0_DQSN[2]
F42,DRAM0_DQ[18]
F44,DRAM0_CKE[2]
F47,DRAM0_MA[12]
F49,DRAM_VDD_S4
F52,DRAM_VDD_S4
F53,DRAM_VDD_S4
G1,USB3DEV_V1P0_S3
G2,USB_ULPI_CLK
G10,VSS
G12,TAP_TRST#
G14,USB_DN[1]
G16,TAP_TDO
G18,PMC_SUS_STAT#
G20,VSS
G22,VSS
G24,PMC_SUSCLK[0]
G26,VSS
G28,VSS
G30,DDI1_DDCCLK
G32,VSS
G34,VSS
G36,DRAM0_DM[0]
G38,DRAM0_DQ[17]
G40,DRAM0_DQ[20]
G42,VSS
G44,DRAM0_DQ[22]
G52,DRAM0_MA[08]
G53,DRAM0_MA[05]
H3,USB_ULPI_STP
H4,RESERVED
H5,RESERVED
H7,RESERVED
H8,RESERVED
J34,MCSI_GPIO[09]
J35,VSS
J36,DRAM0_DQ[01]
J38,DRAM0_DQSP[0]
J40,VSS
J42,DRAM0_DQ[19]
J51,DRAM0_MA[13]
J53,VSS
K2,USB_ULPI_DATA[2]
K3,USB_ULPI_DATA[3]
K4,VSS
K6,USB3_TXP[0]
K7,USB3_TXN[0]
K9,VSS
K10,USB_DP[3]
K12,USB_DP[2]
K14,VSS
K16,USB_DN[0]
K18,GPIO_S5[27]
K20,GPIO_S5[28]
K22,VSS
K24,GPIO_S5[22]
K26,PMC_BATLOW#
K28,MCSI_GPIO[08]
K30,DDI1_HPD
K32,VSS
K34,MCSI_GPIO[04]
K36,VSS
K38,DRAM0_DQSN[0]
K40,DRAM0_DQ[06]
K42,DRAM0_DQ[07]
K44,DRAM0_BS[1]
K45,DRAM0_MA[00]
K47,DRAM0_BS[0]
K48,DRAM0_MA[10]
K50,VSS
K51,DRAM0_DQ[33]
K52,DRAM0_DQ[32]
L1,USB_ULPI_DATA[1]
L3,USB_ULPI_DATA[7]
L13,VSS
L19,VSS
L27,VSS
L35,VSS
L41,DRAM0_MA[02]
L51,DRAM0_DQ[36]
L53,DRAM0_DQ[37]
M2,USB_ULPI_DATA[4]
M3,USB_ULPI_DATA[0]
M4,USB3DEV_TXP[0]
M6,USB3DEV_TXN[0]
M7,USB3DEV_REXT[0]
M9,RESERVED
M10,RESERVED
M12,USB3_REXT[0]
M13,USB_PLL_MON
M14,USB_V1P0_S3
M16,USB_DP[0]
M18,GPIO_S5[26]
M19,VSS
M20,GPIO_S5[24]
M22,GPIO_S5[29]
M24,GPIO_S5[30]
M26,VSS
M27,VSS
M28,VSS
M30,DDI1_BKLTCTL
M32,MCSI_GPIO[01]
M34,VSS
M35,VSS
M36,DRAM0_DQ[00]
M38,VSS
M40,DRAM0_DQ[03]
M41,DRAM_VDD_S4
M42,DRAM_VDD_S4
M44,DRAM0_CAS#
